I.D. Number,Customer Class,Node,Arrival Date,Waiting Time,Service Start Date,Service Time,Service End Date,Time Blocked,Exit Date,Destination,Queue Size at Arrival,Queue Size at Departure
8,3,6,203.70123203737222,0.0,203.70123203737222,11.570422159109938,215.27165419648216,0.0,215.27165419648216,7,0,0
8,3,7,215.27165419648216,0.0,215.27165419648216,10.528656597535957,225.80031079401812,0.0,225.80031079401812,-1,0,0
14,1,1,176.4621392938805,0.0,176.4621392938805,0.07162408009759247,176.5337633739781,0.0,176.5337633739781,2,0,0
14,1,2,176.5337633739781,0.0,176.5337633739781,4.682755002320533,181.21651837629864,0.0,181.21651837629864,3,0,0
14,1,3,181.21651837629864,0.0,181.21651837629864,49.14709949977325,230.36361787607188,0.0,230.36361787607188,-1,3,5
9,1,1,93.58873965888125,0.0,93.58873965888125,0.2646200311640854,93.85335969004534,0.0,93.85335969004534,2,0,0
9,1,2,93.85335969004534,0.0,93.85335969004534,4.501458574435205,98.35481826448054,0.0,98.35481826448054,3,1,0
9,1,3,98.35481826448054,9.395630205340524,107.75044846982107,58.42509582843289,166.17554429825395,0.0,166.17554429825395,4,4,4
9,1,4,166.17554429825395,0.0,166.17554429825395,11.423069445102243,177.5986137433562,0.0,177.5986137433562,5,0,0
9,1,5,177.5986137433562,0.0,177.5986137433562,50.50617210647164,228.10478584982783,0.0,228.10478584982783,6,1,1
9,1,6,228.10478584982783,0.0,228.10478584982783,10.961363604068367,239.0661494538962,0.0,239.0661494538962,7,0,0
9,1,7,239.0661494538962,0.0,239.0661494538962,15.82559204757294,254.89174150146914,0.0,254.89174150146914,-1,0,1
11,3,1,128.58086865949483,0.0,128.58086865949483,0.2580340649791424,128.83890272447397,0.0,128.83890272447397,2,0,0
11,3,2,128.83890272447397,0.0,128.83890272447397,4.418092976222312,133.25699570069628,0.0,133.25699570069628,3,0,0
11,3,3,133.25699570069628,0.0,133.25699570069628,50.8922159766243,184.14921167732058,0.0,184.14921167732058,4,3,3
11,3,4,184.14921167732058,0.0,184.14921167732058,10.627853682226657,194.77706535954724,0.0,194.77706535954724,5,0,0
